ID,Title,Tags,Post Link
143911,What was the level of question in oppe 2 for morning batch?,oppe-2,https://discourse.onlinedegree.iitm.ac.in/t/143911
143892,Confusion on PDSA OPPE timings (urgent),"clarification, miscellaneous, operational, diploma-level",https://discourse.onlinedegree.iitm.ac.in/t/143892
143756,PYQ Solution EndTerm,end-exam,https://discourse.onlinedegree.iitm.ac.in/t/143756
143769,Project 2 figuring out mistake,tds-project-2,https://discourse.onlinedegree.iitm.ac.in/t/143769
72169,PA 10 Q4 Precedence graph,"practice-question, week-10",https://discourse.onlinedegree.iitm.ac.in/t/72169
143852,"DBMS - ReOPPE, Q4",clarification,https://discourse.onlinedegree.iitm.ac.in/t/143852
143842,Prev end term (hash table),clarification,https://discourse.onlinedegree.iitm.ac.in/t/143842
143780,1 private pass out of 2 [ OPPE 2 MOCK 4],"clarification, miscellaneous, foundation-level, guidelines, extra-resources",https://discourse.onlinedegree.iitm.ac.in/t/143780
142831,What to study for End Term,end-term-exam,https://discourse.onlinedegree.iitm.ac.in/t/142831
143816,Floyd Warshall,end-term,https://discourse.onlinedegree.iitm.ac.in/t/143816
143655,GA week 9 question 3,graded-assignment,https://discourse.onlinedegree.iitm.ac.in/t/143655
143611,End term exam weightage,"clarification, operational",https://discourse.onlinedegree.iitm.ac.in/t/143611
143773,WHere can i find the python cheat sheet given in DAD -Live session,"clarification, extra-resources",https://discourse.onlinedegree.iitm.ac.in/t/143773
143768,"Not able to submit Project 2 : Stuck on ""Loading"" after submitting","operational, diploma-level, course-portal",https://discourse.onlinedegree.iitm.ac.in/t/143768
143316,Error in OPPE 2 Mock 3 Question 2,"clarification, operational, error",https://discourse.onlinedegree.iitm.ac.in/t/143316
143764,Pa week 10 q 14,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143764
143666,Pyq doubt mad 1,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143666
143752,Maths 2 Notes,extra-resources,https://discourse.onlinedegree.iitm.ac.in/t/143752
143767,When does the access for the course of python gets closed?,"clarification, miscellaneous, operational",https://discourse.onlinedegree.iitm.ac.in/t/143767
143718,When will dashboard disable,"clarification, miscellaneous, guidelines",https://discourse.onlinedegree.iitm.ac.in/t/143718
143704,End term session issue,operational,https://discourse.onlinedegree.iitm.ac.in/t/143704
143722,"Graded Assignment Week 7 , 8, 9 not visible",clarification,https://discourse.onlinedegree.iitm.ac.in/t/143722
143690,Project 2 Peer review,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143690
142923,Project 2 Answer Submission Issue,"clarification, tds-project-2",https://discourse.onlinedegree.iitm.ac.in/t/142923
128444,Certificate of merit/excellence/distiction - How is the CGPA calculation done?,"operational, foundation-level, diploma-level, grading",https://discourse.onlinedegree.iitm.ac.in/t/128444
143525,Regarding Week 11 live session,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143525
143667,Python Tutor for file handling,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143667
143668,Importing Libraries in OPPE,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143668
143568,"Marks are not satisfying, without any problem during the ope","operational, error",https://discourse.onlinedegree.iitm.ac.in/t/143568
143653,Week 12 Graded Assignment,"clarification, foundation-level",https://discourse.onlinedegree.iitm.ac.in/t/143653
142482,Discrepancy in LA Week 5 Score on dashboard,"error, lab-assignment, evaluation",https://discourse.onlinedegree.iitm.ac.in/t/142482
143585,Activity 9:3 question 2 pls help screenshot posted,"clarification, foundation-level",https://discourse.onlinedegree.iitm.ac.in/t/143585
143620,Re: G.A. descrepencies google form,"clarification, graded-assignment",https://discourse.onlinedegree.iitm.ac.in/t/143620
143488,Anomaly in question no 4 JAVA OPPE 2,oppe-2,https://discourse.onlinedegree.iitm.ac.in/t/143488
143428,Doubt in project 2,"clarification, tds-project-2",https://discourse.onlinedegree.iitm.ac.in/t/143428
143584,Is there new content in Week 12 of python?,foundation-level,https://discourse.onlinedegree.iitm.ac.in/t/143584
143570,Please point out mistake in OPPE 2 mock 2,"clarification, miscellaneous, guidelines",https://discourse.onlinedegree.iitm.ac.in/t/143570
143561,Pdsa pyq q315,quiz,https://discourse.onlinedegree.iitm.ac.in/t/143561
143537,Do CGPA of foundation course is carried forward?,foundation-level,https://discourse.onlinedegree.iitm.ac.in/t/143537
143576,Today is last date of OPPE 2 Mock 3 but their is problem in QUESTION,"clarification, miscellaneous, operational, course-selection, foundation-level",https://discourse.onlinedegree.iitm.ac.in/t/143576
143045,Regarding house allotment,"clarification, foundation-level",https://discourse.onlinedegree.iitm.ac.in/t/143045
142199,End term eligibility : To be decided,end-term-exam,https://discourse.onlinedegree.iitm.ac.in/t/142199
143552,Minimu cgpa?,foundation-level,https://discourse.onlinedegree.iitm.ac.in/t/143552
143511,Check thhe code for problem 2 of mock 3 oppe 2,"clarification, foundation-level, guidelines, extra-resources",https://discourse.onlinedegree.iitm.ac.in/t/143511
143558,Pdsa pyq q:314,quiz,https://discourse.onlinedegree.iitm.ac.in/t/143558
143123,How to score good marks in oppe 2,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143123
141322,How is bonus marks obtained for JAVA,clarification,https://discourse.onlinedegree.iitm.ac.in/t/141322
143417,Dbms oppe marks error,oppe,https://discourse.onlinedegree.iitm.ac.in/t/143417
143442,My private case is not passed,"clarification, miscellaneous, foundation-level, guidelines",https://discourse.onlinedegree.iitm.ac.in/t/143442
143530,Oppe2 mock 4,"foundation-level, error",https://discourse.onlinedegree.iitm.ac.in/t/143530
143380,W12 Content,"clarification, intropython, week-12",https://discourse.onlinedegree.iitm.ac.in/t/143380
143505,Query regarding MAD 1 project,"operational, term2-2024",https://discourse.onlinedegree.iitm.ac.in/t/143505
143497,"End term T3 2022 Merge sort, Question ID: 640653454914",end-term-exam,https://discourse.onlinedegree.iitm.ac.in/t/143497
143434,Discrepancy in DBMS OPE Exam Results,error,https://discourse.onlinedegree.iitm.ac.in/t/143434
104114,Discussion about Community-TA,discourse-forum,https://discourse.onlinedegree.iitm.ac.in/t/104114
143493,OPPE 2 doubt?,"clarification, intropython",https://discourse.onlinedegree.iitm.ac.in/t/143493
143438,Please see the date of problem 4,"clarification, guidelines, discourse-forum",https://discourse.onlinedegree.iitm.ac.in/t/143438
130384,Python | Reference | T2 - 2024,"guidelines, announcement, term2-2024",https://discourse.onlinedegree.iitm.ac.in/t/130384
143452,"Clarification Needed: Insertion Sort Answer in May 2022 Exam, Question ID : 640653357335",clarification,https://discourse.onlinedegree.iitm.ac.in/t/143452
143471,Url_for() v/s render_template | When to use what?,"clarification, diploma-level",https://discourse.onlinedegree.iitm.ac.in/t/143471
143465,B trees formula,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143465
143457,For 4 days No PDSA Live classes,miscellaneous,https://discourse.onlinedegree.iitm.ac.in/t/143457
143453,Clarification Needed: huffman coding Answer in May 2022 Exam,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143453
143454,Week 8 Story telling,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143454
143335,Request to open mock questions for DBMS for submission,"operational, mock",https://discourse.onlinedegree.iitm.ac.in/t/143335
143383,"Please arrange a live session by Piyush Sir for weeks 9, 10, and 11",operational,https://discourse.onlinedegree.iitm.ac.in/t/143383
143381,Request for Week 11 Revision Session by Karthik Sir,"extra-resources, diploma-level",https://discourse.onlinedegree.iitm.ac.in/t/143381
143350,BDM End term portions,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143350
143349,Graded Assignment 11 | Data Download Link Missing,"clarification, graded-assignment",https://discourse.onlinedegree.iitm.ac.in/t/143349
143309,Graded Assignment Solution Week 9,"graded-assignment, week-9",https://discourse.onlinedegree.iitm.ac.in/t/143309
143324,Week 12 content,end-term-exam,https://discourse.onlinedegree.iitm.ac.in/t/143324
143278,Doubt in model estimation,course-selection,https://discourse.onlinedegree.iitm.ac.in/t/143278
143313,Code error fixation,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143313
143217,Week 10 PPA 2 private test case fail,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143217
143248,OPPE 2 Mock 2 doubt,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143248
143240,Google meet link for OPPE of 18th August 2024,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143240
143210,Week 10 Posterior density doubt,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143210
143232,Update Cheatsheet of week 10 and 11,"miscellaneous, operational, foundation-level, guidelines, extra-resources",https://discourse.onlinedegree.iitm.ac.in/t/143232
143172,Can we use python tutor for oppe2,"clarification, guidelines",https://discourse.onlinedegree.iitm.ac.in/t/143172
143223,Please provide more mock problems for oppe 2,extra-resources,https://discourse.onlinedegree.iitm.ac.in/t/143223
143225,OPPE Exam Link,oppe,https://discourse.onlinedegree.iitm.ac.in/t/143225
143208,I lost my continuity in graded assignments and lost the eligibility in end term exam,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143208
143198,Oppe clarification,oppe-1,https://discourse.onlinedegree.iitm.ac.in/t/143198
143187,OPPE MOCK soluthion,oppe-1,https://discourse.onlinedegree.iitm.ac.in/t/143187
142342,PDSA OPPE Prep,oppe,https://discourse.onlinedegree.iitm.ac.in/t/142342
143118,How to choose Lagrange multiplier?,"clarification, diploma-level, week-10",https://discourse.onlinedegree.iitm.ac.in/t/143118
143057,"Please provide access to Python: Live session video - Thursday, August 15⋅5:00 – 7:00pm","miscellaneous, diploma-level, course-portal",https://discourse.onlinedegree.iitm.ac.in/t/143057
143111,Clarification regarding OPPE2,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143111
143067,Query regarding BSc and BS level courses + NPTEL,"clarification, miscellaneous, course-selection, guidelines",https://discourse.onlinedegree.iitm.ac.in/t/143067
143094,To get information about bonus marks,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143094
143033,"Week 8, PPA solutions",clarification,https://discourse.onlinedegree.iitm.ac.in/t/143033
142260,Regarding oppe marks,"clarification, foundation-level, intropython, oppe",https://discourse.onlinedegree.iitm.ac.in/t/142260
143072,Week 9 directional derivatives in terms of gradient doubt,"clarification, week-9",https://discourse.onlinedegree.iitm.ac.in/t/143072
143053,DBMS OPPE Question,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143053
143046,How to solve this question (kernel svm)?,end-term-exam,https://discourse.onlinedegree.iitm.ac.in/t/143046
142935,Please please record the video :cry:,"clarification, miscellaneous, guidelines",https://discourse.onlinedegree.iitm.ac.in/t/142935
143038,Dbms ope mock q6,oppe,https://discourse.onlinedegree.iitm.ac.in/t/143038
143013,Clarify,clarification,https://discourse.onlinedegree.iitm.ac.in/t/143013
142579,Video link of this problem in any live session,"clarification, guidelines, extra-resources",https://discourse.onlinedegree.iitm.ac.in/t/142579
